NR	PARTIDO	CAND	NOME	1	2	111	112	113	114	158	159	160	161	TOTAL
50	PSOL	50000	PEDRO LUIZ FAGUNDES RUAS	2447	2376	1633	1404	1431	1305	905	998	1582	529	14610
65	PC do B	65100	JOÃO DERLY DE OLIVEIRA NUNES JUNIOR	1483	1902	2025	2652	1235	836	1658	1114	829	304	14038
11	PP	11111	GUILHERME SOCIAS VILLELA	2127	3630	2793	1097	1169	881	316	352	1015	194	13574
12	PDT	12345	MÁRCIO FERREIRA BINS ELY	1449	2190	1672	1396	1164	1259	974	909	1753	570	13336
12	PDT	12122	THIAGO PEREIRA DUARTE	759	823	578	473	642	1010	237	378	1686	5349	11935
11	PP	11011	KEVIN CHAVES KRIEGER	1136	1479	1215	1001	1378	1590	515	880	1336	914	11444
12	PDT	12700	CLAUDIO RENATO GUIMARÃES DA SILVA	568	767	771	1639	1318	1203	896	1688	972	853	10675
14	PTB	14714	CÁSSIO DE JESUS TROGILDO	645	513	410	841	925	1107	1491	935	1444	1230	9541
12	PDT	12123	JOÃO BOSCO GRANATO VAZ	1170	1234	1009	1050	1233	903	803	601	1037	453	9493
15	PMDB	15200	VALTER LUIS DA COSTA NAGELSTEIN	1278	2608	1476	642	1114	509	233	314	605	161	8940
14	PTB	14014	HUMBERTO CIULLA GOULART	684	950	732	990	658	748	439	387	970	2011	8569
10	PRB	10300	WALDIR CANAL	862	559	826	1219	1020	412	1934	940	240	199	8211
12	PDT	12112	LUCIANO BRASILIENSE MARCANTONIO	395	515	2464	277	614	1144	212	765	467	872	7725
11	PP	11633	JOAO CARLOS CAVALHEIRO NEDEL	1000	1866	1362	888	675	472	305	211	620	183	7582
15	PMDB	15500	IDENIR JOAO CECCHIM	673	1100	1151	1913	576	390	890	360	354	149	7556
55	PSD	55555	BERNARDINO VENDRUSCOLO	995	1021	846	931	759	851	467	549	718	249	7386
50	PSOL	50500	FERNANDA MELCHIONNA E SILVA	1483	1263	666	760	660	604	331	406	783	258	7214
13	PT	13113	SOFIA CAVEDON NUNES	1191	1223	844	631	757	674	399	435	674	257	7085
